date,artist,song_name,video,group_type,release,link,like_count,view_count
2021-05-12,Blitzers,Breathe Again,Youtube,Boy,Major,https://www.youtube.com/watch?v=vT1i7EOEifs,30531,245132
2021-05-12,WJSN The Black,Easy,Youtube,Girl,Major,https://www.youtube.com/watch?v=p_C_ZmSWpzc,129004,7459896
2021-05-11,Oneus,Black Mirror,Youtube,Boy,Major,https://www.youtube.com/watch?v=LnB2Zg3um0g,357711,25371738
2021-05-10,NCT Dream,Hot Sauce,Youtube,Boy,Major,https://www.youtube.com/watch?v=PkKnp4SdE-w,3909972,169783652
2021-05-10,Oh My Girl,Dun Dun Dance,Youtube,Girl,Major,https://www.youtube.com/watch?v=HzOjwL7IP_o,779166,52415374
2021-05-10,KEEMBO,Whatever,Youtube,Girl,Major,https://www.youtube.com/watch?v=ll8akHNe4NY,2595,34059
2021-05-07,CNBLUE,ZOOM,Youtube,Boy,Japanese,https://www.youtube.com/watch?v=uAUvKlppyeE,27329,700809
2021-05-06,BIBI,Life is a Bi...,Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=n-S9bbeBlIA,138522,4721015
2021-05-04,Brave Girls,Red Sun,Youtube,Girl,CF,https://www.youtube.com/watch?v=JirYow6J6MY,137251,4526742
2021-05-04,Hi Cutie,Gray Area,Youtube,Girl,Major,https://www.youtube.com/watch?v=xNm8sFiCmlM,1927,139446
2021-05-03,BIBI,Birthday Cake,Youtube,Girl,Major,https://www.youtube.com/watch?v=DXA_wANxUWM,49266,482002
2021-04-30,eAeon,Don't feat. RM,Youtube,Boy Solo,Major,https://www.youtube.com/watch?v=oVPYa7QCmRg,1640493,23541429
2021-04-30,BAE173,I Can't Sleep,Youtube,Boy,Major,https://www.youtube.com/watch?v=Jm3al7B2U9o,13607,149416
2021-04-30,ITZY,Mafia In The Morning,Youtube,Girl,Major,https://www.youtube.com/watch?v=_ysomCGaZLw,4360656,234115114
2021-04-29,Heygirls,I Cook,Youtube,Girl,Major,https://www.youtube.com/watch?v=Mchk4lMiQq4,5469,207031
2021-04-28,BIBI,BAD SAD AND MAD,Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=q36iGiqoCXM,170357,2877197
2021-04-28,ONF,Ugly Dance,Youtube,Boy,Major,https://www.youtube.com/watch?v=rlDU3vpR7uA,23283,538982
2021-04-28,HOT ISSUE,GRATATA,Youtube,Girl,Major,https://www.youtube.com/watch?v=wt-jP2l2v4A,48434,860953
2021-04-26,AB6IX,Close,Youtube,Boy,Major,https://www.youtube.com/watch?v=hV_d3cvOjvc,171174,26653396
2021-04-26,ENHYPEN,Drunk-Dazed,Youtube,Boy,Major,https://www.youtube.com/watch?v=Fc7-Oe0tj5k,3679191,96623181
2021-04-23,W.A.O,On The Fire,Youtube,Boy,Major,https://www.youtube.com/watch?v=vmHkwFGF7zo,56825,266651
2021-04-23,MONSTA X,Flavors of love,Youtube,Boy,Japanese,https://www.youtube.com/watch?v=Wz9a6g4B8h0,116788,1349552
