name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Life's Too Short (English Version),Life's Too Short,aespa,2022-06-24,178133,65,0.472,0.289,0.8,0,0.149,-3.681,0.265,72.203,4
POP!,IM NAYEON,NAYEON,2022-06-24,168106,81,0.795,0.0361,0.859,0,0.0321,-2.994,0.0542,96.986,4
Save Me,Save Me,Sorn,2022-06-23,220111,41,0.576,0.154,0.832,0,0.115,-2.242,0.0631,94.969,4
How We Live (feat. sokodomo),The Story,KANGDANIEL,2022-05-24,193440,35,0.767,0.0884,0.782,0,0.161,-4.489,0.0356,135.93,4
Ring The Alarm,KARD 5th Mini Album 'Re:',KARD,2022-06-22,185053,63,0.753,0.219,0.847,0,0.0961,-2.731,0.0525,99.929,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Louder,W SERIES ‘2TAN’(wish ver),TAN,2022-06-21,198760,44,0.695,0.0045,0.905,0,0.0549,-2.709,0.0765,112.149,4
SUGAR,SUGAR,Youngjae,2022-06-21,186333,48,0.761,0.0104,0.869,0,0.0643,-3.556,0.0404,133.927,4
HIT YA!,HIT YA!,Lapillus,2022-06-20,201724,55,0.676,0.00157,0.935,0.0127,0.118,-2.899,0.0751,144.942,4
Flip That,Summer Special [Flip That],LOONA,2022-06-20,177373,61,0.803,0.072,0.831,0,0.328,-3.649,0.0569,112.045,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Up!,DOUBLAST,Kep1er,2022-06-20,192026,68,0.753,0.0205,0.932,4.31e-06,0.0326,-2.706,0.119,124.006,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WATCH OUT,PlaySuperkind : Apply for a beta test,SUPERKIND,2022-06-20,173053,43,0.748,0.0204,0.848,0,0.117,-3.118,0.178,122.998,4
Cherish,Cherish,Kawaguchi Yurina,2022-06-20,204984,40,0.775,0.267,0.793,0,0.0817,-4.31,0.0665,117.992,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stupid Cool,Stupid Cool,DAWN 던,2022-06-16,178306,48,0.795,0.015,0.724,0,0.0696,-3.665,0.179,127.852,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Villain,REBORN,PIXY,2022-06-15,193933,54,0.73,0.0435,0.855,0,0.306,-2.051,0.163,100.023,4
Blue Sky,Blue Sky,BDC,2022-06-15,206853,31,0.429,0.249,0.435,0,0.145,-5.705,0.0366,143.373,4
ZERO,DRIPPIN 2nd Single Album [Villain : ZERO],DRIPPIN,2022-06-15,218840,40,0.62,0.0659,0.906,0,0.348,-2.01,0.133,157.953,4
PLAY DUMB,Story Written in Music,OMEGA X,2022-06-15,205466,37,0.9,0.0574,0.891,0,0.0709,-2.166,0.0832,106.032,4
MY LOVE (feat. RAVI),LOVE&LOVE,Seo In Guk,2022-06-14,205773,45,0.717,0.496,0.481,4.47e-06,0.343,-6.925,0.0273,94.02,4
CRAZY,Facade,WONHO,2022-06-13,208133,49,0.787,0.0135,0.827,8.01e-05,0.0704,-3.563,0.051,111.997,4
KILLER,KILLER,FAINIT,2022-06-13,190520,21,0.748,0.0686,0.927,0,0.0586,-2.886,0.0975,110.021,4
POP,POP,bugAboo,2022-06-13,194157,41,0.849,0.00278,0.838,4.66e-06,0.21,-4.01,0.0559,128.005,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CIRCUS,CIRCUS,Stray Kids,2022-06-10,194440,71,0.767,0.0337,0.809,0,0.0353,-3.734,0.0958,97.958,4
Danger,JOY,woo!ah!,2022-06-09,222761,44,0.816,0.0438,0.8,5.64e-06,0.269,-2.605,0.0463,107.99,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Parade,The Story,KANGDANIEL,2022-05-24,182800,48,0.654,0.277,0.588,0,0.266,-4.406,0.0317,130.078,4
WHO [吼],BLUE SET Chapter 2. CHOICE,TRENDZ,2022-06-08,202782,32,0.561,0.0179,0.845,0,0.0822,-4.23,0.158,173.985,4
DOOMCHITA,DOOMCHITA,SECRET NUMBER,2022-06-08,197440,50,0.684,0.0677,0.851,1.52e-05,0.402,-2.974,0.104,144.844,4
Undercover - Japanese ver.,Undercover (Japanese ver.),VERIVERY,2022-06-08,188666,16,0.676,0.0404,0.912,0,0.245,-2.527,0.0669,150.031,4
Holler,Fighting,Rolling Quartz,2022-02-08,207216,30,0.599,0.0036,0.77,0.0348,0.185,-7.369,0.0485,130.003,4
CLASSY,LIVES ACROSS,CLASS:y,2022-05-26,168146,52,0.793,0.0975,0.929,2.16e-06,0.1,-1.198,0.0994,121.0,4
Love Shhh!,Op.22 Y-Waltz : in Major,JO YURI,2022-06-02,199066,56,0.724,0.0709,0.921,0,0.121,-1.489,0.0786,118.008,4
Trouble? TRAVEL!,Trouble? TRAVEL!,ADORA,2022-06-01,233546,55,0.619,0.209,0.851,0,0.162,-2.69,0.11,166.96,4
Flow,Flow,DIAWINGS,2022-05-21,222640,8,0.931,0.232,0.528,0,0.0596,-3.015,0.0961,110.974,4
Your Eyes,Your Eyes,Stray Kids,2022-06-01,196386,60,0.782,0.169,0.533,0,0.228,-6.178,0.0417,129.82,4
Stupid O'clock,Chaos,VICTON,2022-05-31,185093,52,0.63,0.172,0.781,0,0.135,-3.758,0.0825,99.866,4
Beatbox,Beatbox - The 2nd Album Repackage,NCT DREAM,2022-05-30,205133,72,0.857,0.0411,0.7,0,0.0334,-4.189,0.074,93.997,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Save our lives,The Beginning: World Tree,Forestella,2022-05-30,264946,42,0.183,0.644,0.496,0.0263,0.0999,-7.048,0.0419,107.881,5
HOT,SEVENTEEN 4th Album 'Face the Sun',SEVENTEEN,2022-05-27,197586,79,0.765,0.0539,0.777,2.58e-06,0.338,-4.376,0.0399,111.944,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VENOM,Re-Original,BVNDIT,2022-05-25,199613,48,0.785,0.00966,0.913,0.000421,0.0929,-2.519,0.0727,126.077,4
Pisces,Pisces,Yerin Baek,2022-05-24,227000,48,0.53,0.357,0.65,0,0.139,-6.707,0.0285,127.954,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Thumbs Up,K2Y I: CONFIDENCE [Thumbs Up],BLANK2Y,2022-05-24,206120,36,0.753,0.0132,0.897,0.000215,0.058,-3.197,0.0726,100.008,4
